City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,pozo colorado,-23.4923,-58.7972,20.21,84,100,3.13,PY,1668135570
83,upernavik,72.7868,-56.1549,-11.49,84,97,2.9,GL,1668135570
84,polis,35.0367,32.4264,13.9,69,0,3.21,CY,1668135571
85,kaitangata,-46.2817,169.8464,18.44,51,31,5.29,NZ,1668135571
86,dingle,10.9995,122.6711,29.88,73,87,5.3,PH,1668135572
87,kaka,37.3482,59.6143,6.42,48,0,1.97,TM,1668135572
88,kawalu,-7.3817,108.2082,28.23,71,84,1.98,ID,1668135572
89,pimenta bueno,-11.6725,-61.1936,24.81,71,27,0.65,BR,1668135573
90,cedral,23.8,-100.7333,20.52,37,0,1.27,MX,1668135573
91,nakhon phanom,17.3333,104.4167,28.89,56,40,1.19,TH,1668135574
92,qaqortoq,60.7167,-46.0333,-7.01,90,98,0.93,GL,1668135574
93,roseburg,43.2165,-123.3417,6.95,90,100,0.33,US,1668135368
94,east london,-33.0153,27.9116,18.64,90,100,7.9,ZA,1668135427
95,san quintin,30.4833,-115.95,15.89,55,0,3.91,MX,1668135360
96,kachug,53.9606,105.8817,-4.84,76,99,1.53,RU,1668135575
97,lagoa,39.05,-27.9833,16.2,69,37,9.15,PT,1668135575
98,mubende,0.5606,31.39,15.53,92,98,0.55,UG,1668135576
99,saint-philippe,-21.3585,55.7679,22.77,69,14,2.52,RE,1668135576
100,mackay,-21.15,149.2,29.27,57,9,5.52,AU,1668135577
101,fukue,32.6881,128.8419,22.2,68,40,2.57,JP,1668135577
102,ponta do sol,32.6667,-17.1,19.84,81,53,0.63,PT,1668135578
103,buala,-8.145,159.5921,26.69,87,100,4.19,SB,1668135578
104,ucluelet,48.9329,-125.5528,7.83,76,100,0.45,CA,1668135299
105,jining,35.405,116.5814,21.84,62,46,4.02,CN,1668135579
106,portland,45.5234,-122.6762,7.75,85,0,0.89,US,1668135057
107,fredericton,45.9454,-66.6656,9.47,88,100,2.06,CA,1668135401
108,butaritari,3.0707,172.7902,27.48,79,47,8.51,KI,1668135444
109,codrington,-38.2667,141.9667,16.29,83,100,4.98,AU,1668135580
110,sept-iles,50.2001,-66.3821,5.0,83,75,5.14,CA,1668135580
111,longyearbyen,78.2186,15.6401,-2.09,74,75,4.63,SJ,1668135581
112,tortoli,39.9256,9.6572,16.84,79,17,2.15,IT,1668135581
113,berlevag,70.8578,29.0864,1.0,80,100,9.26,NO,1668135582
114,pamanukan,-6.2842,107.8106,30.37,63,100,0.63,ID,1668135582
115,severo-yeniseyskiy,60.3725,93.0408,-8.46,96,91,1.77,RU,1668135582
116,champerico,14.3,-91.9167,25.92,79,7,2.25,GT,1668135583
117,camacha,33.0833,-16.3333,16.68,82,20,1.54,PT,1668135583
118,meulaboh,4.1363,96.1285,25.2,87,100,1.85,ID,1668135584
119,severo-kurilsk,50.6789,156.125,0.15,69,97,15.87,RU,1668135584
120,imbituba,-28.24,-48.6703,16.76,87,100,1.31,BR,1668135585
121,hasaki,35.7333,140.8333,22.38,51,0,5.79,JP,1668135585
122,laguna,38.421,-121.4238,10.59,77,20,1.7,US,1668135585
123,narsaq,60.9167,-46.05,-6.27,95,100,0.61,GL,1668135586
124,cabo san lucas,22.8909,-109.9124,24.78,70,95,1.34,MX,1668135429
125,khatanga,71.9667,102.5,-25.28,100,96,1.47,RU,1668135586
126,saskylakh,71.9167,114.0833,-33.39,100,45,1.5,RU,1668135587
127,kruisfontein,-34.0033,24.7314,16.6,78,90,4.32,ZA,1668135587
128,puerto ayora,-0.7393,-90.3518,20.31,90,81,2.68,EC,1668135588
129,qasigiannguit,68.8193,-51.1922,-17.98,83,100,1.92,GL,1668135588
130,angren,41.0167,70.1436,5.51,35,100,1.15,UZ,1668135589
131,katsuura,35.1333,140.3,20.12,59,0,7.05,JP,1668135589
132,otane,-39.8833,176.6333,13.89,99,100,3.8,NZ,1668135590
133,mount isa,-20.7333,139.5,33.87,33,40,4.63,AU,1668135590
134,pacific grove,36.6177,-121.9166,11.9,82,48,4.47,US,1668135441
135,gushikawa,26.3544,127.8686,26.57,78,80,7.4,JP,1668135590
136,brewster,41.3973,-73.6171,13.99,92,81,1.68,US,1668135591
137,namibe,-15.1961,12.1522,17.33,84,99,2.81,AO,1668135591
138,samarai,-10.6167,150.6667,28.2,71,21,5.19,PG,1668135592
139,shitanjing,39.2342,106.3439,2.64,51,100,11.53,CN,1668135592
140,aqtobe,50.2797,57.2072,1.05,93,100,6.0,KZ,1668135593
141,kaeo,-35.1,173.7833,23.51,82,11,3.46,NZ,1668135593
142,souillac,-20.5167,57.5167,21.21,88,20,1.54,MU,1668135594
143,dikson,73.5069,80.5464,-15.8,93,84,7.36,RU,1668135594
144,salalah,17.0151,54.0924,24.51,69,4,0.85,OM,1668135595
145,korla,41.7597,86.1469,3.92,46,6,0.89,CN,1668135595
146,mar del plata,-38.0023,-57.5575,17.83,91,0,2.24,AR,1668135470
147,bambous virieux,-20.3428,57.7575,24.01,88,20,1.54,MU,1668135310
148,leningradskiy,69.3833,178.4167,-15.73,95,100,3.16,RU,1668135596
149,fortuna,40.5982,-124.1573,8.14,96,0,1.54,US,1668135596
150,vilya,55.2456,42.2089,6.42,90,100,4.32,RU,1668135597
151,beloha,-25.1667,45.05,23.43,74,3,1.37,MG,1668135597
152,pevek,69.7008,170.3133,-16.77,95,100,0.89,RU,1668135598
153,san cristobal,7.7669,-72.225,21.1,98,93,1.22,VE,1668135402
154,kavaratti,10.5669,72.642,27.9,66,100,4.31,IN,1668135598
155,kenai,60.5544,-151.2583,0.64,99,100,1.54,US,1668135599
156,takoradi,4.8845,-1.7554,25.13,86,80,2.41,GH,1668135599
157,zomin,39.9606,68.3958,4.19,53,9,0.33,UZ,1668135600
158,carbonia,39.1672,8.5222,14.45,84,60,2.39,IT,1668135600
159,santiago de cuba,20.0247,-75.8219,22.53,95,50,1.25,CU,1668135566
160,pontian kecil,1.4801,103.3899,30.57,79,61,0.96,MY,1668135601
161,kirakira,-10.4544,161.9205,26.66,87,100,3.68,SB,1668135602
162,zapolyarnyy,69.4154,30.8136,-1.4,98,84,2.29,RU,1668135603
163,jaguaribe,-5.8906,-38.6219,25.17,75,3,4.44,BR,1668135604
164,saint-pierre,-21.3393,55.4781,26.06,46,0,2.57,RE,1668135606
165,hambantota,6.1241,81.1185,26.19,100,20,0.51,LK,1668135608
166,maracas,-13.4411,-40.4308,18.03,81,5,1.95,BR,1668135611
167,kaina,12.6374,8.5873,21.36,25,76,2.99,NG,1668135612
168,tuatapere,-46.1333,167.6833,20.14,49,2,2.93,NZ,1668135613
169,bayanday,53.0661,105.5139,-6.16,81,100,1.24,RU,1668135614
170,bereda,43.2686,-7.5406,8.56,98,53,0.74,ES,1668135617
171,karasburg,-28.0167,18.75,13.57,51,26,5.09,NA,1668135618
172,saint george,37.1041,-113.5841,8.86,44,0,6.17,US,1668135619
173,khandyga,62.6667,135.6,-17.03,93,100,1.61,RU,1668135620
174,kurilsk,45.2333,147.8833,4.81,53,100,8.82,RU,1668135621
175,medeiros neto,-17.3739,-40.2206,21.61,95,51,2.88,BR,1668135622
176,carnarvon,-24.8667,113.6333,20.86,64,35,8.91,AU,1668135622
177,kikwit,-5.041,18.8162,19.77,99,100,0.32,CD,1668135623
